Country,Sex,Year,BMI
Czechia,Female,2019,24.5
Czechia,Both sexes,2018,24.2
Czechia,Male,2018,24
Czechia,Female,2018,24.3
Democratic People's Republic of Korea,Both sexes,2023,6.8
Democratic People's Republic of Korea,Male,2023,6.1
Democratic People's Republic of Korea,Female,2023,7.3
Democratic People's Republic of Korea,Both sexes,2022,6.5
Democratic People's Republic of Korea,Male,2022,5.8
Democratic People's Republic of Korea,Female,2022,7.1
Democratic People's Republic of Korea,Both sexes,2021,6.3
Democratic People's Republic of Korea,Male,2021,5.6
Democratic People's Republic of Korea,Female,2021,6.9
Democratic People's Republic of Korea,Both sexes,2020,6.1
Democratic People's Republic of Korea,Male,2020,5.3
Democratic People's Republic of Korea,Female,2020,6.7
Democratic People's Republic of Korea,Both sexes,2019,5.9
Democratic People's Republic of Korea,Male,2019,5.1
Democratic People's Republic of Korea,Female,2019,6.5
Democratic People's Republic of Korea,Both sexes,2018,5.7
Democratic People's Republic of Korea,Male,2018,4.9
Democratic People's Republic of Korea,Female,2018,6.4
Democratic Republic of the Congo,Both sexes,2023,6.7
Democratic Republic of the Congo,Male,2023,3.6
Democratic Republic of the Congo,Female,2023,9.7
Democratic Republic of the Congo,Both sexes,2022,6.4
Democratic Republic of the Congo,Male,2022,3.4
Democratic Republic of the Congo,Female,2022,9.3
Democratic Republic of the Congo,Both sexes,2021,6.1
Democratic Republic of the Congo,Male,2021,3.2
Democratic Republic of the Congo,Female,2021,8.9
Democratic Republic of the Congo,Both sexes,2020,5.9
Democratic Republic of the Congo,Male,2020,3
Democratic Republic of the Congo,Female,2020,8.5
Democratic Republic of the Congo,Both sexes,2019,5.6
Democratic Republic of the Congo,Male,2019,2.8
Democratic Republic of the Congo,Female,2019,8.1
Democratic Republic of the Congo,Both sexes,2018,5.3
Democratic Republic of the Congo,Male,2018,2.7
Democratic Republic of the Congo,Female,2018,7.8
Denmark,Both sexes,2023,19.7
Denmark,Male,2023,22.3
Denmark,Female,2023,17
Denmark,Both sexes,2022,19.3
Denmark,Male,2022,21.8
Denmark,Female,2022,16.7
Denmark,Both sexes,2021,18.9
Denmark,Male,2021,21.3
Denmark,Female,2021,16.5
Denmark,Both sexes,2020,18.5
Denmark,Male,2020,20.8
Denmark,Female,2020,16.2
Denmark,Both sexes,2019,18.1
Denmark,Male,2019,20.2
Denmark,Female,2019,16
Denmark,Both sexes,2018,17.8
Denmark,Male,2018,19.8
Denmark,Female,2018,15.7
Djibouti,Both sexes,2023,13.5
Djibouti,Male,2023,8.6
Djibouti,Female,2023,18.3
Djibouti,Both sexes,2022,13.2
Djibouti,Male,2022,8.3
Djibouti,Female,2022,18
Djibouti,Both sexes,2021,12.9
Djibouti,Male,2021,8.1
Djibouti,Female,2021,17.6
Djibouti,Both sexes,2020,12.6
Djibouti,Male,2020,7.8
Djibouti,Female,2020,17.3
Djibouti,Both sexes,2019,12.3
Djibouti,Male,2019,7.6
Djibouti,Female,2019,16.9
Djibouti,Both sexes,2018,12
Djibouti,Male,2018,7.3
Djibouti,Female,2018,16.6
Dominica,Both sexes,2023,27.9
Dominica,Male,2023,19.9
Dominica,Female,2023,35.6
Dominica,Both sexes,2022,27.3
Dominica,Male,2022,19.3
Dominica,Female,2022,35
Dominica,Both sexes,2021,26.8
Dominica,Male,2021,18.7
Dominica,Female,2021,34.4
Dominica,Both sexes,2020,26.2
Dominica,Male,2020,18.1
Dominica,Female,2020,33.9
Dominica,Both sexes,2019,25.6
Dominica,Male,2019,17.5
Dominica,Female,2019,33.3
Dominica,Both sexes,2018,25
Dominica,Male,2018,17
Dominica,Female,2018,32.7
Dominican Republic,Both sexes,2023,27.6
Dominican Republic,Male,2023,21
Dominican Republic,Female,2023,34.1
Dominican Republic,Both sexes,2022,26.9
Dominican Republic,Male,2022,20.2
Dominican Republic,Female,2022,33.4
Dominican Republic,Both sexes,2021,26.1
Dominican Republic,Male,2021,19.4
Dominican Republic,Female,2021,32.7
Dominican Republic,Both sexes,2020,25.3
Dominican Republic,Male,2020,18.6
Dominican Republic,Female,2020,31.9
Dominican Republic,Both sexes,2019,24.5
Dominican Republic,Male,2019,17.8
Dominican Republic,Female,2019,31.2
Dominican Republic,Both sexes,2018,23.8
Dominican Republic,Male,2018,17
Dominican Republic,Female,2018,30.4
Ecuador,Both sexes,2023,19.9
Ecuador,Male,2023,14.9
Ecuador,Female,2023,24.7
Ecuador,Both sexes,2022,19.4
Ecuador,Male,2022,14.4
Ecuador,Female,2022,24.2
Ecuador,Both sexes,2021,19
Ecuador,Male,2021,14
Ecuador,Female,2021,23.7
Ecuador,Both sexes,2020,18.5
Ecuador,Male,2020,13.6
Ecuador,Female,2020,23.3
Ecuador,Both sexes,2019,18.1
Ecuador,Male,2019,13.2
Ecuador,Female,2019,22.8
Ecuador,Both sexes,2018,17.6
Ecuador,Male,2018,12.7
Ecuador,Female,2018,22.4
Egypt,Both sexes,2023,32
Egypt,Male,2023,22.7
Egypt,Female,2023,41.1
Egypt,Both sexes,2022,31.3
Egypt,Male,2022,22
Egypt,Female,2022,40.4
Egypt,Both sexes,2021,30.6
Egypt,Male,2021,21.3
Egypt,Female,2021,39.7
Egypt,Both sexes,2020,30
Egypt,Male,2020,20.6
Egypt,Female,2020,39
Egypt,Both sexes,2019,29.3
Egypt,Male,2019,20
Egypt,Female,2019,38.3
Egypt,Both sexes,2018,28.6
Egypt,Male,2018,19.4
Egypt,Female,2018,37.6
El Salvador,Both sexes,2023,24.6
El Salvador,Male,2023,18.9
El Salvador,Female,2023,28.9
El Salvador,Both sexes,2022,24
El Salvador,Male,2022,18.3
El Salvador,Female,2022,28.4
El Salvador,Both sexes,2021,23.4
El Salvador,Male,2021,17.7
El Salvador,Female,2021,27.8
El Salvador,Both sexes,2020,22.8
El Salvador,Male,2020,17.2
El Salvador,Female,2020,27.2
El Salvador,Both sexes,2019,22.2
El Salvador,Male,2019,16.6
El Salvador,Female,2019,26.6
El Salvador,Both sexes,2018,21.7
El Salvador,Male,2018,16.1
El Salvador,Female,2018,26.1
Equatorial Guinea,Both sexes,2023,8
Equatorial Guinea,Male,2023,3.8
Equatorial Guinea,Female,2023,12.6
Equatorial Guinea,Both sexes,2022,7.7
Equatorial Guinea,Male,2022,3.6
Equatorial Guinea,Female,2022,12.2
Equatorial Guinea,Both sexes,2021,7.4
Equatorial Guinea,Male,2021,3.4
Equatorial Guinea,Female,2021,11.7
Equatorial Guinea,Both sexes,2020,7.1
Equatorial Guinea,Male,2020,3.3
Equatorial Guinea,Female,2020,11.3
Equatorial Guinea,Both sexes,2019,6.8
Equatorial Guinea,Male,2019,3.1
Equatorial Guinea,Female,2019,10.9
Equatorial Guinea,Both sexes,2018,6.5
Equatorial Guinea,Male,2018,3
Equatorial Guinea,Female,2018,10.5
Eritrea,Both sexes,2023,5
Eritrea,Male,2023,2
Eritrea,Female,2023,7.6
Eritrea,Both sexes,2022,4.8
Eritrea,Male,2022,1.9
Eritrea,Female,2022,7.2
Eritrea,Both sexes,2021,4.5
Eritrea,Male,2021,1.8
Eritrea,Female,2021,6.9
Eritrea,Both sexes,2020,4.3
Eritrea,Male,2020,1.7
Eritrea,Female,2020,6.5
Eritrea,Both sexes,2019,4.1
Eritrea,Male,2019,1.6
Eritrea,Female,2019,6.2
Eritrea,Both sexes,2018,3.9
Eritrea,Male,2018,1.5
Eritrea,Female,2018,5.9
Estonia,Both sexes,2023,21.2
Estonia,Male,2023,20.3
Estonia,Female,2023,21.8
Estonia,Both sexes,2022,20.9
Estonia,Male,2022,19.9
Estonia,Female,2022,21.6
Estonia,Both sexes,2021,20.7
Estonia,Male,2021,19.5
Estonia,Female,2021,21.4
Estonia,Both sexes,2020,20.4
Estonia,Male,2020,19.1
Estonia,Female,2020,21.3
Estonia,Both sexes,2019,20.1
Estonia,Male,2019,18.7
Estonia,Female,2019,21.1
Estonia,Both sexes,2018,19.9
Estonia,Male,2018,18.3
Estonia,Female,2018,21
Eswatini,Both sexes,2023,16.5
Eswatini,Male,2023,5.4
Eswatini,Female,2023,26.2
Eswatini,Both sexes,2022,16.1
Eswatini,Male,2022,5.1
Eswatini,Female,2022,25.6
Eswatini,Both sexes,2021,15.7
Eswatini,Male,2021,4.9
Eswatini,Female,2021,25
Eswatini,Both sexes,2020,15.3
Eswatini,Male,2020,4.7
Eswatini,Female,2020,24.4
Eswatini,Both sexes,2019,14.9
Eswatini,Male,2019,4.5
Eswatini,Female,2019,23.8
Eswatini,Both sexes,2018,14.5
Eswatini,Male,2018,4.3
Eswatini,Female,2018,23.2
Ethiopia,Both sexes,2023,4.5
Ethiopia,Male,2023,1.9
Ethiopia,Female,2023,6.9
Ethiopia,Both sexes,2022,4.3
Ethiopia,Male,2022,1.8
Ethiopia,Female,2022,6.6
Ethiopia,Both sexes,2021,4
Ethiopia,Male,2021,1.7
Ethiopia,Female,2021,6.3
Ethiopia,Both sexes,2020,3.8
Ethiopia,Male,2020,1.6
Ethiopia,Female,2020,5.9
Ethiopia,Both sexes,2019,3.6
Ethiopia,Male,2019,1.5
Ethiopia,Female,2019,5.7
Ethiopia,Both sexes,2018,3.4
Ethiopia,Male,2018,1.4
Ethiopia,Female,2018,5.4
Fiji,Both sexes,2023,30.2
Fiji,Male,2023,25.1
Fiji,Female,2023,35.3
Fiji,Both sexes,2022,29.5
Fiji,Male,2022,24.4
Fiji,Female,2022,34.7
Fiji,Both sexes,2021,28.9
Fiji,Male,2021,23.7
Fiji,Female,2021,34.2
Fiji,Both sexes,2020,28.3
Fiji,Male,2020,23
Fiji,Female,2020,33.6
Fiji,Both sexes,2019,27.7
Fiji,Male,2019,22.4
Fiji,Female,2019,33.1
Fiji,Both sexes,2018,27.1
Fiji,Male,2018,21.7
Fiji,Female,2018,32.6
Finland,Both sexes,2023,22.2
Finland,Male,2023,23.7
Finland,Female,2023,20.6
Finland,Both sexes,2022,21.8
Finland,Male,2022,23.2
Finland,Female,2022,20.3
Finland,Both sexes,2021,21.4
Finland,Male,2021,22.7
Finland,Female,2021,20
Finland,Both sexes,2020,21.1
Finland,Male,2020,22.2
Finland,Female,2020,19.7
Finland,Both sexes,2019,20.7
Finland,Male,2019,21.8
Finland,Female,2019,19.5
Finland,Both sexes,2018,20.3
Finland,Male,2018,21.3
Finland,Female,2018,19.2
France,Both sexes,2023,21.6
France,Male,2023,22
France,Female,2023,21.1
France,Both sexes,2022,21.2
France,Male,2022,21.5
France,Female,2022,20.8
France,Both sexes,2021,20.8
France,Male,2021,21
France,Female,2021,20.5
France,Both sexes,2020,20.4
France,Male,2020,20.5
France,Female,2020,20.3
France,Both sexes,2019,20.1
France,Male,2019,20.1
France,Female,2019,20
France,Both sexes,2018,19.7
France,Male,2018,19.6
France,Female,2018,19.7
Gabon,Both sexes,2023,15
Gabon,Male,2023,9.6
Gabon,Female,2023,20.3
Gabon,Both sexes,2022,14.6
Gabon,Male,2022,9.3
Gabon,Female,2022,19.9
Gabon,Both sexes,2021,14.3
Gabon,Male,2021,8.9
Gabon,Female,2021,19.5
Gabon,Both sexes,2020,13.9
Gabon,Male,2020,8.6
Gabon,Female,2020,19.1
Gabon,Both sexes,2019,13.5
Gabon,Male,2019,8.3
Gabon,Female,2019,18.7
Gabon,Both sexes,2018,13.2
Gabon,Male,2018,7.9
Gabon,Female,2018,18.3
Gambia,Both sexes,2023,10.3
Gambia,Male,2023,5.6
Gambia,Female,2023,14.8
Gambia,Both sexes,2022,9.9
Gambia,Male,2022,5.3
Gambia,Female,2022,14.3
Gambia,Both sexes,2021,9.5
Gambia,Male,2021,5.1
Gambia,Female,2021,13.8
Gambia,Both sexes,2020,9.1
Gambia,Male,2020,4.8
Gambia,Female,2020,13.3
Gambia,Both sexes,2019,8.7
Gambia,Male,2019,4.5
Gambia,Female,2019,12.9
Gambia,Both sexes,2018,8.4
Gambia,Male,2018,4.3
Gambia,Female,2018,12.4
Georgia,Both sexes,2023,21.7
Georgia,Male,2023,19.2
Georgia,Female,2023,23.8
Georgia,Both sexes,2022,21.1
Georgia,Male,2022,18.5
Georgia,Female,2022,23.1
Georgia,Both sexes,2021,20.5
Georgia,Male,2021,17.9
Georgia,Female,2021,22.5
Georgia,Both sexes,2020,19.9
Georgia,Male,2020,17.3
Georgia,Female,2020,22
Georgia,Both sexes,2019,19.3
Georgia,Male,2019,16.6
Georgia,Female,2019,21.4
Georgia,Both sexes,2018,18.7
Georgia,Male,2018,16.1
Georgia,Female,2018,20.8
Germany,Both sexes,2023,22.3
Germany,Male,2023,24.2
Germany,Female,2023,20.4
Germany,Both sexes,2022,21.9
Germany,Male,2022,23.6
Germany,Female,2022,20.1
Germany,Both sexes,2021,21.5
Germany,Male,2021,23.1
Germany,Female,2021,19.8
Germany,Both sexes,2020,21.1
Germany,Male,2020,22.6
Germany,Female,2020,19.5
Germany,Both sexes,2019,20.7
Germany,Male,2019,22.1
Germany,Female,2019,19.2
Germany,Both sexes,2018,20.3
Germany,Male,2018,21.6
Germany,Female,2018,18.9
Ghana,Both sexes,2023,10.9
Ghana,Male,2023,4.5
Ghana,Female,2023,16.6
Ghana,Both sexes,2022,10.5
Ghana,Male,2022,4.3
Ghana,Female,2022,16.1
Ghana,Both sexes,2021,10.1
Ghana,Male,2021,4.1
Ghana,Female,2021,15.6
Ghana,Both sexes,2020,9.8
Ghana,Male,2020,3.9
Ghana,Female,2020,15.1
Ghana,Both sexes,2019,9.4
Ghana,Male,2019,3.7
Ghana,Female,2019,14.6
Ghana,Both sexes,2018,9.1
Ghana,Male,2018,3.5
Ghana,Female,2018,14.1
Greece,Both sexes,2023,24.9
Greece,Male,2023,24.2
Greece,Female,2023,25.4
Greece,Both sexes,2022,24.4
Greece,Male,2022,23.6
Greece,Female,2022,25.1
Greece,Both sexes,2021,24
Greece,Male,2021,23
Greece,Female,2021,24.9
Greece,Both sexes,2020,23.6
Greece,Male,2020,22.5
Greece,Female,2020,24.6
Greece,Both sexes,2019,23.2
Greece,Male,2019,22
Greece,Female,2019,24.3
Greece,Both sexes,2018,22.8
Greece,Male,2018,21.4
Greece,Female,2018,24
Grenada,Both sexes,2023,21.3
Grenada,Male,2023,13.3
Grenada,Female,2023,29
Grenada,Both sexes,2022,20.7
Grenada,Male,2022,12.9
Grenada,Female,2022,28.4
Grenada,Both sexes,2021,20.2
Grenada,Male,2021,12.4
Grenada,Female,2021,27.7
Grenada,Both sexes,2020,19.6
Grenada,Male,2020,11.9
Grenada,Female,2020,27.1
Grenada,Both sexes,2019,19.1
Grenada,Male,2019,11.5
Grenada,Female,2019,26.5
Grenada,Both sexes,2018,18.6
Grenada,Male,2018,11.1
Grenada,Female,2018,25.8
Guatemala,Both sexes,2023,21.2
Guatemala,Male,2023,15.1
Guatemala,Female,2023,26.4
Guatemala,Both sexes,2022,20.6
Guatemala,Male,2022,14.5
Guatemala,Female,2022,25.8
Guatemala,Both sexes,2021,20
Guatemala,Male,2021,14
Guatemala,Female,2021,25.2
Guatemala,Both sexes,2020,19.5
Guatemala,Male,2020,13.5
Guatemala,Female,2020,24.6
Guatemala,Both sexes,2019,18.9
Guatemala,Male,2019,13.1
Guatemala,Female,2019,24
Guatemala,Both sexes,2018,18.4
Guatemala,Male,2018,12.6
Guatemala,Female,2018,23.4
Guinea,Both sexes,2023,7.7
Guinea,Male,2023,3.7
Guinea,Female,2023,11.5
Guinea,Both sexes,2022,7.4
Guinea,Male,2022,3.5
Guinea,Female,2022,11
Guinea,Both sexes,2021,7
Guinea,Male,2021,3.3
Guinea,Female,2021,10.6
Guinea,Both sexes,2020,6.7
Guinea,Male,2020,3.1
Guinea,Female,2020,10.2
Guinea,Both sexes,2019,6.4
Guinea,Male,2019,3
Guinea,Female,2019,9.8
Guinea,Both sexes,2018,6.2
Guinea,Male,2018,2.8
Guinea,Female,2018,9.4
Guinea-Bissau,Both sexes,2023,9.5
Guinea-Bissau,Male,2023,5
Guinea-Bissau,Female,2023,13.7
Guinea-Bissau,Both sexes,2022,9.1
Guinea-Bissau,Male,2022,4.7
Guinea-Bissau,Female,2022,13.1
Guinea-Bissau,Both sexes,2021,8.7
Guinea-Bissau,Male,2021,4.5
Guinea-Bissau,Female,2021,12.6
Guinea-Bissau,Both sexes,2020,8.3
Guinea-Bissau,Male,2020,4.2
Guinea-Bissau,Female,2020,12.1
Guinea-Bissau,Both sexes,2019,7.9
Guinea-Bissau,Male,2019,4
Guinea-Bissau,Female,2019,11.7
Guinea-Bissau,Both sexes,2018,7.6
Guinea-Bissau,Male,2018,3.7
Guinea-Bissau,Female,2018,11.2
Guyana,Both sexes,2023,20.2
Guyana,Male,2023,12.7
Guyana,Female,2023,27.1
Guyana,Both sexes,2022,19.6
Guyana,Male,2022,12.1
Guyana,Female,2022,26.4
Guyana,Both sexes,2021,19
Guyana,Male,2021,11.6
Guyana,Female,2021,25.7
Guyana,Both sexes,2020,18.4
Guyana,Male,2020,11.1
Guyana,Female,2020,25.1
Guyana,Both sexes,2019,17.9
Guyana,Male,2019,10.6
Guyana,Female,2019,24.4
Guyana,Both sexes,2018,17.4
Guyana,Male,2018,10.2
Guyana,Female,2018,23.8
Haiti,Both sexes,2023,22.7
Haiti,Male,2023,17.9
Haiti,Female,2023,26.9
Haiti,Both sexes,2022,21.8
Haiti,Male,2022,17.1
Haiti,Female,2022,26.1
Haiti,Both sexes,2021,21
Haiti,Male,2021,16.2
Haiti,Female,2021,25.3
Haiti,Both sexes,2020,20.2
Haiti,Male,2020,15.4
Haiti,Female,2020,24.5
Haiti,Both sexes,2019,19.4
Haiti,Male,2019,14.5
Haiti,Female,2019,23.7
Haiti,Both sexes,2018,18.6
Haiti,Male,2018,13.7
Haiti,Female,2018,22.9
Honduras,Both sexes,2023,21.4
Honduras,Male,2023,15.6
Honduras,Female,2023,26.9
Honduras,Both sexes,2022,20.8
Honduras,Male,2022,15.1
Honduras,Female,2022,26.2
Honduras,Both sexes,2021,20.1
Honduras,Male,2021,14.5
Honduras,Female,2021,25.5
Honduras,Both sexes,2020,19.5
Honduras,Male,2020,14
Honduras,Female,2020,24.9
Honduras,Both sexes,2019,19
Honduras,Male,2019,13.4
Honduras,Female,2019,24.2
Honduras,Both sexes,2018,18.4
Honduras,Male,2018,12.9
Honduras,Female,2018,23.6
Hungary,Both sexes,2023,26.4
Hungary,Male,2023,28.2
Hungary,Female,2023,24.6
Hungary,Both sexes,2022,25.9
Hungary,Male,2022,27.5
Hungary,Female,2022,24.3
Hungary,Both sexes,2021,25.4
Hungary,Male,2021,26.9
Hungary,Female,2021,23.9
Hungary,Both sexes,2020,25
Hungary,Male,2020,26.3
Hungary,Female,2020,23.6
Hungary,Both sexes,2019,24.5
Hungary,Male,2019,25.6
Hungary,Female,2019,23.2
Hungary,Both sexes,2018,24
Hungary,Male,2018,25
Hungary,Female,2018,22.9
Iceland,Both sexes,2023,21.9
Iceland,Male,2023,24.2
Iceland,Female,2023,19.4
Iceland,Both sexes,2022,21.5
Iceland,Male,2022,23.7
Iceland,Female,2022,19.2
Iceland,Both sexes,2021,21.1
Iceland,Male,2021,23.1
Iceland,Female,2021,18.9
Iceland,Both sexes,2020,20.7
Iceland,Male,2020,22.6
Iceland,Female,2020,18.7
Iceland,Both sexes,2019,20.3
Iceland,Male,2019,22.1
Iceland,Female,2019,18.5
Iceland,Both sexes,2018,20
Iceland,Male,2018,21.6
Iceland,Female,2018,18.3
India,Both sexes,2023,3.9
India,Male,2023,2.7
India,Female,2023,5.1
India,Both sexes,2022,3.7
India,Male,2022,2.6
India,Female,2022,4.8
India,Both sexes,2021,3.5
India,Male,2021,2.4
India,Female,2021,4.6
India,Both sexes,2020,3.3
India,Male,2020,2.3
India,Female,2020,4.4
India,Both sexes,2019,3.1
India,Male,2019,2.1
India,Female,2019,4.2
India,Both sexes,2018,3
India,Male,2018,2
India,Female,2018,4
Indonesia,Both sexes,2023,6.9
Indonesia,Male,2023,4.8
Indonesia,Female,2023,8.9
Indonesia,Both sexes,2022,6.5
Indonesia,Male,2022,4.5
Indonesia,Female,2022,8.5
Indonesia,Both sexes,2021,6.1
Indonesia,Male,2021,4.1
Indonesia,Female,2021,8.1
Indonesia,Both sexes,2020,5.8
Indonesia,Male,2020,3.8
Indonesia,Female,2020,7.7
Indonesia,Both sexes,2019,5.5
Indonesia,Male,2019,3.6
Indonesia,Female,2019,7.3
Indonesia,Both sexes,2018,5.2
Indonesia,Male,2018,3.3
Indonesia,Female,2018,7
Iran (Islamic Republic of),Both sexes,2023,25.8
Iran (Islamic Republic of),Male,2023,19.3
Iran (Islamic Republic of),Female,2023,32.2
Iran (Islamic Republic of),Both sexes,2022,25.2
Iran (Islamic Republic of),Male,2022,18.6
Iran (Islamic Republic of),Female,2022,31.7
Iran (Islamic Republic of),Both sexes,2021,24.6
Iran (Islamic Republic of),Male,2021,18
Iran (Islamic Republic of),Female,2021,31.1
Iran (Islamic Republic of),Both sexes,2020,24
Iran (Islamic Republic of),Male,2020,17.3
Iran (Islamic Republic of),Female,2020,30.5
Iran (Islamic Republic of),Both sexes,2019,23.3
Iran (Islamic Republic of),Male,2019,16.7
Iran (Islamic Republic of),Female,2019,29.9
Iran (Islamic Republic of),Both sexes,2018,22.7
Iran (Islamic Republic of),Male,2018,16.1
Iran (Islamic Republic of),Female,2018,29.3
Iraq,Both sexes,2023,30.4
Iraq,Male,2023,23.4
Iraq,Female,2023,37
Iraq,Both sexes,2022,29.8
Iraq,Male,2022,22.8
Iraq,Female,2022,36.4
Iraq,Both sexes,2021,29.2
Iraq,Male,2021,22.1
Iraq,Female,2021,35.9
Iraq,Both sexes,2020,28.6
Iraq,Male,2020,21.5
Iraq,Female,2020,35.3
Iraq,Both sexes,2019,28
Iraq,Male,2019,20.9
Iraq,Female,2019,34.8
Iraq,Both sexes,2018,27.5
Iraq,Male,2018,20.3
Iraq,Female,2018,34.3
Ireland,Both sexes,2023,25.3
Ireland,Male,2023,25.1
Ireland,Female,2023,25.5
Ireland,Both sexes,2022,24.7
Ireland,Male,2022,24.4
Ireland,Female,2022,24.9
Ireland,Both sexes,2021,24
Ireland,Male,2021,23.7
Ireland,Female,2021,24.3
Ireland,Both sexes,2020,23.4
Ireland,Male,2020,23.1
Ireland,Female,2020,23.7
Ireland,Both sexes,2019,22.8
Ireland,Male,2019,22.4
Ireland,Female,2019,23.1
Ireland,Both sexes,2018,22.2
Ireland,Male,2018,21.8
Ireland,Female,2018,22.5
Israel,Both sexes,2023,26.1
Israel,Male,2023,25.9
Israel,Female,2023,26.2
Israel,Both sexes,2022,25.8
Israel,Male,2022,25.4
Israel,Female,2022,26.1
Israel,Both sexes,2021,25.5
Israel,Male,2021,24.9
Israel,Female,2021,25.9
Israel,Both sexes,2020,25.1
Israel,Male,2020,24.5
Israel,Female,2020,25.7
Israel,Both sexes,2019,24.8
Israel,Male,2019,24
Israel,Female,2019,25.5
Israel,Both sexes,2018,24.5
Israel,Male,2018,23.6
Israel,Female,2018,25.3
Italy,Both sexes,2023,19.9
Italy,Male,2023,20.1
Italy,Female,2023,19.5
Italy,Both sexes,2022,19.6
Italy,Male,2022,19.7
Italy,Female,2022,19.3
Italy,Both sexes,2021,19.3
Italy,Male,2021,19.3
Italy,Female,2021,19.1
Italy,Both sexes,2020,19
Italy,Male,2020,18.9
Italy,Female,2020,18.9
Italy,Both sexes,2019,18.7
Italy,Male,2019,18.5
Italy,Female,2019,18.6
Italy,Both sexes,2018,18.3
Italy,Male,2018,18.2
Italy,Female,2018,18.4
Jamaica,Both sexes,2023,24.7
Jamaica,Male,2023,15.3
Jamaica,Female,2023,33.4
Jamaica,Both sexes,2022,24.1
Jamaica,Male,2022,14.7
Jamaica,Female,2022,32.8
Jamaica,Both sexes,2021,23.5
Jamaica,Male,2021,14.1
Jamaica,Female,2021,32.2
Jamaica,Both sexes,2020,22.9
Jamaica,Male,2020,13.6
Jamaica,Female,2020,31.6
Jamaica,Both sexes,2019,22.3
Jamaica,Male,2019,13
Jamaica,Female,2019,30.9
Jamaica,Both sexes,2018,21.7
Jamaica,Male,2018,12.5
Jamaica,Female,2018,30.3
Japan,Both sexes,2023,4.3
Japan,Male,2023,4.8
Japan,Female,2023,3.7
Japan,Both sexes,2022,4.1
Japan,Male,2022,4.6
Japan,Female,2022,3.6
Japan,Both sexes,2021,3.9
Japan,Male,2021,4.3
Japan,Female,2021,3.5
Japan,Both sexes,2020,3.8
Japan,Male,2020,4.1
Japan,Female,2020,3.4
Japan,Both sexes,2019,3.6
Japan,Male,2019,3.9
Japan,Female,2019,3.3
Japan,Both sexes,2018,3.5
Japan,Male,2018,3.7
Japan,Female,2018,3.2
Jordan,Both sexes,2023,35.5
Jordan,Male,2023,28.2
Jordan,Female,2023,43.1
Jordan,Both sexes,2022,34.9
Jordan,Male,2022,27.5
Jordan,Female,2022,42.5
Jordan,Both sexes,2021,34.3
Jordan,Male,2021,26.8
Jordan,Female,2021,42
Jordan,Both sexes,2020,33.7
Jordan,Male,2020,26.1
Jordan,Female,2020,41.5
Jordan,Both sexes,2019,33.1
Jordan,Male,2019,25.5
Jordan,Female,2019,41
Jordan,Both sexes,2018,32.5
Jordan,Male,2018,24.8
Jordan,Female,2018,40.5
Kazakhstan,Both sexes,2023,21
Kazakhstan,Male,2023,18.9
Kazakhstan,Female,2023,22.7
Kazakhstan,Both sexes,2022,20.5
Kazakhstan,Male,2022,18.3
Kazakhstan,Female,2022,22.1
Kazakhstan,Both sexes,2021,20
Kazakhstan,Male,2021,17.8
Kazakhstan,Female,2021,21.6
Kazakhstan,Both sexes,2020,19.5
Kazakhstan,Male,2020,17.2
Kazakhstan,Female,2020,21.1
Kazakhstan,Both sexes,2019,19
Kazakhstan,Male,2019,16.7
Kazakhstan,Female,2019,20.7
Kazakhstan,Both sexes,2018,18.5
Kazakhstan,Male,2018,16.2
Kazakhstan,Female,2018,20.2
Kenya,Both sexes,2023,7.1
Kenya,Male,2023,2.8
Kenya,Female,2023,11.1
Kenya,Both sexes,2022,6.8
Kenya,Male,2022,2.7
Kenya,Female,2022,10.6
Kenya,Both sexes,2021,6.5
Kenya,Male,2021,2.5
Kenya,Female,2021,10.2
Kenya,Both sexes,2020,6.2
Kenya,Male,2020,2.4
Kenya,Female,2020,9.7
Kenya,Both sexes,2019,5.9
Kenya,Male,2019,2.3
Kenya,Female,2019,9.3
Kenya,Both sexes,2018,5.6
Kenya,Male,2018,2.1
Kenya,Female,2018,8.9
Kiribati,Both sexes,2023,46
Kiribati,Male,2023,41.6
Kiribati,Female,2023,50.4
Kiribati,Both sexes,2022,45.3
Kiribati,Male,2022,40.8
Kiribati,Female,2022,49.8
Kiribati,Both sexes,2021,44.7
Kiribati,Male,2021,40.1
Kiribati,Female,2021,49.3
Kiribati,Both sexes,2020,44.1
Kiribati,Male,2020,39.4
Kiribati,Female,2020,48.8
Kiribati,Both sexes,2019,43.5
Kiribati,Male,2019,38.7
Kiribati,Female,2019,48.2
Kiribati,Both sexes,2018,42.8
Kiribati,Male,2018,37.9
Kiribati,Female,2018,47.7
Kuwait,Both sexes,2023,37.9
Kuwait,Male,2023,33.3
Kuwait,Female,2023,45.6
Kuwait,Both sexes,2022,37.4
Kuwait,Male,2022,32.6
Kuwait,Female,2022,45.2
Kuwait,Both sexes,2021,36.8
Kuwait,Male,2021,32
Kuwait,Female,2021,44.8
Kuwait,Both sexes,2020,36.2
Kuwait,Male,2020,31.3
Kuwait,Female,2020,44.4
Kuwait,Both sexes,2019,35.6
Kuwait,Male,2019,30.7
Kuwait,Female,2019,44
Kuwait,Both sexes,2018,35.1
Kuwait,Male,2018,30.1
Kuwait,Female,2018,43.6
Kyrgyzstan,Both sexes,2023,16.6
Kyrgyzstan,Male,2023,14
Kyrgyzstan,Female,2023,18.6
Kyrgyzstan,Both sexes,2022,16
